LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott432006,Monticola explorator
ott432007,Monticola brevipes
ott432001,Monticola angolensis
ott432005,Monticola rupestris
ott957843,Monticola rufocinereus
ott408566,Calliope pectoralis
ott22300,Ficedula hypoleuca
ott107840,Ficedula albicollis
ott629342,Ficedula semitorquata
ott416087,Ficedula parva
ott859519,Ficedula albicilla
ott859520,Ficedula subrubra
ott130294,Ficedula rufigula
ott284698,Ficedula buruensis
ott284708,Ficedula bonthaina
ott174772,Ficedula disposita
ott284694,Ficedula platenae
ott284700,Ficedula dumetoria
ott909204,Ficedula nigrorufa
ott284693,Ficedula crypta
ott3598140,Ficedula basilanica
ott284695,Ficedula harterti
ott909201,Ficedula timorensis
ott67150,Ficedula mugimaki
ott1058850,Ficedula tricolor
ott859509,Ficedula hyperythra
ott284707,Ficedula westermanni
ott909205,Ficedula superciliaris
ott909203,Ficedula sapphira
ott859518,Ficedula strophiata
ott547548,Ficedula zanthopygia
ott3598138,Ficedula elisae
ott131996,Ficedula narcissina
ott5859958,Ficedula narcissina owstoni
ott35350,Myiomela leucura
ott35354,Myiomela diana
ott102476,Luscinia indica
ott554160,Luscinia chrysaea
ott604918,Luscinia johnstoniae
ott3598801,Luscinia rufilata
ott102468,Myophonus glaucinus
ott102470,Myophonus caeruleus
ott556172,Myophonus melanurus
ott3598164,Myophonus blighi
ott3598165,Myophonus horsfieldii
ott3598166,Myophonus robinsoni
ott3598167,Myophonus castaneus
ott3598168,Myophonus borneensis
ott3598169,Myophonus insularis
ott878312,Cinclidium frontale
ott153334,Enicurus ruficapillus
ott254683,Enicurus leschenaulti
ott1022616,Enicurus maculatus
ott626440,Enicurus scouleri
ott897952,Enicurus immaculatus
ott1000550,Enicurus schistaceus
ott3598202,Enicurus velatus
ott131992,Luscinia cyanura
ott113980,Luscinia luscinia
ott961118,Luscinia megarhynchos
ott364210,Irania gutturalis
ott451069,Hodgsonius phoenicuroides
ott274225,Luscinia svecica
ott24297,Sheppardia gunningi
ott901105,Sheppardia sharpei
ott238001,Sheppardia gabela
ott375985,Sheppardia aequatorialis
ott424732,Sheppardia cyornithopsis
ott289300,Sheppardia bocagei
ott372336,Sheppardia aurantiithorax
ott375986,Sheppardia lowei
ott901106,Sheppardia montana
ott372338,Sheppardia poensis
ott168423,Swynnertonia swynnertoni
ott899355,Stiphrornis xanthogaster
ott424733,Stiphrornis erythrothorax
ott820697,Stiphrornis pyrrholaemus
ott788717,Pogonocichla stellata
ott878300,Cichladusa guttata
ott3598237,Cichladusa arquata
ott3598238,Cichladusa ruficauda
ott237993,Cossyphicula roberti
ott434217,Cossypha isabellae
ott288661,Cossypha niveicapilla
ott727901,Cossypha heuglini
ott928787,Cossypha semirufa
ott288669,Cossypha dichroa
ott928783,Cossypha albicapillus
ott288667,Cossypha cyanocampter
ott289301,Cossypha natalensis
ott3598160,Cossypha heinrichi
ott507122,Erithacus rubecula
ott288657,Chamaetylas fuelleborni
ott7068385,Chamaetylas poliocephala
ott812519,Alethe castanea
ott1029622,Alethe diademata
ott45312,Luscinia sibilans
ott4947846,Calliope pectardens
ott153332,Luscinia brunnea
ott812517,Luscinia cyane
ott3598826,Brachypteryx hyperythra
ott20498,Brachypteryx leucophris
ott878305,Brachypteryx montana
ott32651,Rhinomyias gularis
ott288692,Cyornis banyumas
ott676568,Rhinomyias olivaceus
ott727915,Cyornis poliogenys
ott467530,Cyornis rufigastra
ott3598179,Cyornis tickelliae
ott3598194,Cyornis magnirostris
ott928797,Cyornis rubeculoides
ott3598181,Cyornis ruficauda
ott3598198,Cyornis umbratilis
ott727917,Cyornis unicolor
ott1064257,Cyornis concretus
ott364228,Heinrichia calligyna
ott994823,Cyornis hainanus
ott3598176,Cyornis oscillans
ott3598177,Cyornis lemprieri
ott3598178,Cyornis hoevelli
ott3598180,Cyornis colonus
ott3598183,Cyornis pallidipes
ott3598184,Cyornis sanfordi
ott3598185,Cyornis turcosus
ott3598186,Cyornis ruckii
ott3598187,Cyornis caerulatus
ott3598188,Cyornis hyacinthinus
ott3598189,Cyornis nicobaricus
ott3598190,Cyornis omissus
ott3598191,Rhinomyias brunneatus
ott3598192,Cyornis superbus
ott3598193,Cyornis herioti
ott3598196,Cyornis djampeanus
ott3598197,Cyornis glaucicomans
ott6520270,Cyornis sumatrensis
ott1043433,Ficedula monileger
ott676556,Niltava grandis
ott678887,Niltava sundara
ott678917,Niltava davidi
ott676558,Niltava macgrigoriae
ott676560,Niltava vivida
ott3598135,Niltava sumatrana
ott3598136,Ficedula henrici
ott3598137,Anthipes solitaris
ott3598139,Ficedula riedeli
ott6152992,Ficedula luzoniensis
ott7660859,Ficedula hodgsoni
ott7660860,Ficedula ruficauda
ott35326,Muscicapa muttui
ott795157,Muscicapa griseisticta
ott5859956,Muscicapa dauurica
ott540009,Muscicapa ferruginea
ott678914,Muscicapa sibirica
ott153324,Muscicapa gambagae
ott153326,Muscicapa cassini
ott153337,Muscicapa aquatica
ott116518,Muscicapa striata
ott626438,Muscicapa adusta
ott153330,Muscicapa sethsmithi
ott152572,Fraseria cinerascens
ott364241,Fraseria ocreata
ott7660862,Fraseria caerulescens
ott7660863,Fraseria griseigularis
ott7660864,Fraseria lendu
ott7660865,Fraseria olivascens
ott7660866,Fraseria plumbea
ott7660867,Fraseria tessmanni
ott153268,Melaenornis ardesiacus
ott311095,Melaenornis edolioides
ott1042778,Melaenornis silens
ott1027755,Melaenornis pammelaina
ott3598210,Melaenornis annamarulae
ott3598211,Melaenornis chocolatinus
ott3598212,Melaenornis fischeri
ott3598213,Melaenornis brunneus
ott7660873,Melaenornis herero
ott7660874,Melaenornis semipartitus
ott437483,Bradornis microrhynchus
ott626435,Bradornis mariquensis
ott7660809,Bradornis boehmi
