LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott3608668,Dasymys sua
ott3608666,Dasymys rwandae
ott3608667,Dasymys montanus
ott3608669,Dasymys alleni
ott911466,Dasymys rufulus
ott3608663,Dasymys nudipes
ott3608664,Dasymys cabrali
ott3608665,Dasymys foxi
ott400681,Thallomys paedulcus
ott948855,Thallomys nigricauda
ott1073173,Thallomys loringi
ott3608748,Thallomys shortridgei
ott565390,Grammomys macmillani
ott695709,Grammomys cometes
ott695712,Grammomys dolichurus
ott695715,Grammomys ibeanus
ott3608638,Grammomys poensis
ott3608639,Grammomys aridulus
ott3608642,Grammomys caniceps
ott3608643,Grammomys minnae
ott3608644,Grammomys gigas
ott3608645,Grammomys kuru
ott3608646,Grammomys buntingi
ott742036,Micaelamys namaquensis
ott3608713,Micaelamys granti
ott170591,Golunda ellioti
ott976856,Oenomys hypoxanthus
ott3608749,Oenomys ornatus
ott3610957,Lamottemys okuensis
ott3611177,Tryphomys adustus
ott38119,Leporillus conditor
ott156332,Mesembriomys gouldii
ott875159,Mesembriomys macrurus
ott794941,Conilurus penicillatus
ott66763,Melomys capensis
ott66767,Melomys rufescens
ott260133,Melomys burtoni
ott260136,Melomys cervinipes
ott399969,Solomys salebrosus
ott580987,Solomys ponceleti
ott3608679,Solomys salamonis
ott3608680,Solomys sapientis
ott621098,Melomys lutillus
ott968844,Melomys leucogaster
ott3608794,Melomys fraterculus
ott3608795,Melomys fulgens
ott3608797,Melomys dollmani
ott3608798,Melomys cooperae
ott3608799,Melomys frigicola
ott3608800,Melomys aerosus
ott3608805,Melomys obiensis
ott3608808,Melomys bougainville
ott3608812,Melomys arcium
ott3608813,Melomys paveli
ott3608814,Melomys matambuai
ott3608815,Melomys talaudium
ott3608816,Melomys howi
ott3608817,Melomys bannisteri
ott260139,Uromys hadrourus
ott399971,Uromys anak
ott809498,Uromys caudimaculatus
ott3608784,Uromys emmae
ott3608785,Uromys siebersi
ott3608786,Uromys neobritannicus
ott3608787,Uromys boeadii
ott3608789,Uromys imperator
ott3608790,Uromys porculus
ott466617,Paramelomys lorentzii
ott581020,Paramelomys moncktoni
ott640008,Paramelomys rubex
ott640011,Paramelomys levipes
ott640013,Paramelomys platyops
ott3608691,Paramelomys gressitti
ott3608692,Paramelomys naso
ott3608693,Paramelomys mollis
ott50168,Leggadina lakedownensis
ott50172,Leggadina forresti
ott66759,Notomys cervinus
ott66761,Notomys aquilo
ott136543,Notomys alexis
ott156335,Notomys fuscus
ott640019,Notomys mitchellii
ott527517,Pseudomys chapmani
ott156341,Mastacomys fuscus
ott936226,Pseudomys hermannsburgensis
ott449849,Pseudomys fieldi
ott449851,Pseudomys fumeus
ott449853,Pseudomys calabyi
ott449855,Pseudomys delicatulus
ott449857,Pseudomys apodemoides
ott449859,Pseudomys bolami
ott449863,Pseudomys albocinereus
ott817778,Pseudomys australis
ott976051,Pseudomys shortridgei
ott976055,Pseudomys occidentalis
ott976057,Pseudomys novaehollandiae
ott976059,Pseudomys patrius
ott976061,Pseudomys oralis
ott976063,Pseudomys higginsi
ott976065,Pseudomys gracilicaudatus
ott976069,Pseudomys johnsoni
ott936224,Pseudomys desertor
ott399973,Zyzomys maini
ott399977,Zyzomys pedunculatus
ott399979,Zyzomys woodwardi
ott730968,Zyzomys argurus
ott3608737,Zyzomys palatalis
ott936229,Pseudomys nanus
ott156337,Xeromys myoides
ott449861,Pseudohydromys ellermani
ott3608675,Pseudohydromys occidentalis
ott3608676,Pseudohydromys fuscus
ott3608677,Pseudohydromys murinus
ott3608678,Pseudohydromys germani
ott6144923,Pseudohydromys berniceae
ott6144924,Pseudohydromys carlae
ott6144925,Pseudohydromys eleanorae
ott6144926,Pseudohydromys patriciae
ott6144927,Pseudohydromys pumehanae
ott6144928,Pseudohydromys sandrae
ott692532,Leptomys elegans
ott3608701,Leptomys ernstmayri
ott3608702,Leptomys signatus
ott6144895,Leptomys arfakensis
ott6144896,Leptomys paulus
ott640015,Parahydromys asper
ott989544,Hydromys chrysogaster
ott3608610,Hydromys neobritannicus
ott3608611,Hydromys ziegleri
ott3608612,Hydromys hussoni
ott3608609,Baiyankamys habbema
ott3608614,Baiyankamys shawmayeri
ott692529,Crossomys moncktoni
ott3609978,Paraleptomys rufilatus
ott3610992,Paraleptomys wilhelmina
ott66765,Mammelomys rattoides
ott66775,Mammelomys lanosus
ott66771,Mallomys rothschildi
ott3608694,Mallomys gunung
ott3608695,Mallomys istapantap
ott3608696,Mallomys aroaensis
ott456612,Abeomelomys sevia
ott466608,Pogonomys loriae
ott242780,Pogonomys sylvestris
ott449865,Pogonomys macrourus
ott3608683,Pogonomys fergussoniensis
ott3608685,Pogonomys championi
ott156338,Hyomys goliath
ott3608735,Hyomys dammermani
ott118383,Chiruromys vates
ott3608699,Chiruromys forbesi
ott3608700,Chiruromys lamia
