LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott284230,Amolops hongkongensis
ott666459,Amolops daiyunensis
ott656232,Amolops ricketti
ott998701,Amolops wuyiensis
ott542272,Amolops hainanensis
ott656231,Amolops torrentis
ott899045,Amolops spinapectoralis
ott514537,Nidirana daunchina
ott523468,Amolops indoburmanensis
ott575318,Nidirana lini
ott3618357,Rana cangyuanensis
ott3618358,Rana chevronta
ott3618366,Odorrana gigatympana
ott3618368,Odorrana wuchuanensis
ott3618369,Odorrana yizhangensis
ott3618375,Odorrana lungshengensis
ott3618371,Odorrana rotodora
ott3618376,Odorrana zhaoi
ott3618377,Odorrana sinica
ott3618378,Odorrana monjerai
ott3618379,Odorrana orba
ott3618381,Odorrana macrotympana
ott3618383,Odorrana bolavensis
ott3618384,Odorrana yentuensis
ott3618385,Odorrana indeprensa
ott3618386,Odorrana trankieni
ott3618387,Odorrana anlungensis
ott3618390,Amolops splendissimus
ott3618391,Amolops chakrataensis
ott3618392,Amolops himalayanus
ott3618393,Amolops jaunsari
ott3618394,Amolops aniqiaoensis
ott3618395,Amolops formosus
ott3618396,Amolops kaulbacki
ott3618397,Amolops assamensis
ott3618398,Amolops longimanus
ott3618399,Amolops monticola
ott3618400,Amolops minutus
ott3618401,Amolops caelumnoctis
ott3618402,Amolops medogensis
ott3618403,Amolops mengyangensis
ott3618404,Amolops gerbillus
ott4133638,Pseudorana sangzhiensis
ott5810468,Odorrana lipuensis
ott5810470,Odorrana fengkaiensis
ott5926223,Amolops chayuensis
ott5926224,Amolops nyingchiensis
ott5926232,Odorrana mutschmanni
ott6158863,Odorrana splendida
ott6158880,Rana jiemuxiensis
ott6158887,Rana uenoi
ott7070872,Amolops albispinus
ott7070873,Amolops mengdingensis
ott7070874,Amolops ottorum
ott7070875,Amolops shuichengicus
ott7070876,Amolops sinensis
ott7070877,Amolops wenshanensis
ott7070878,Amolops yatseni
ott7070879,Amolops yunkaiensis
ott7070884,Nidirana hainanensis
ott7070885,Nidirana nankunensis
ott7070938,Rana dabieshanensis
ott7666638,Amolops australis
ott7666639,Amolops gerutu
ott7666735,Rana orba
ott7666749,Rana stenocephala
ott14406,Clinotarsus alticola
ott196288,Clinotarsus curtipes
ott6158861,Clinotarsus penelope
ott320910,Huia masonii
ott718026,Huia sumatrana
ott71284,Meristogenys dyscritus
ott718016,Meristogenys orphnocnemis
ott1014775,Meristogenys maryatiae
ott363599,Meristogenys whiteheadi
ott1084378,Meristogenys stigmachilus
ott95173,Meristogenys jerboa
ott610596,Meristogenys phaeomerus
ott585760,Meristogenys poecilus
ott1016034,Meristogenys stenocephalus
ott1083370,Meristogenys amoropalamus
ott3618389,Meristogenys macrophthalmus
ott447435,Meristogenys kinabaluensis
ott718005,Huia cavitympanum
ott585763,Huia melasma
ott3618405,Huia modiglianii
ott270619,Staurois natator
ott492488,Staurois tuberilinguis
ott993481,Staurois parvus
ott706728,Staurois guttatus
ott491965,Staurois latopalmatus
ott7070943,Sumaterana crassiovis
ott7070944,Sumaterana dabulescens
ott7070945,Sumaterana montana
ott6995,Rhacophorus malabaricus
ott4948276,Rhacophorus pseudomalabaricus
ott492497,Rhacophorus calcaneus
ott292422,Rhacophorus verrucopus
ott906685,Rhacophorus orlovi
ott648332,Rhacophorus annamensis
ott797677,Rhacophorus exechopygus
ott525154,Rhacophorus reinwardtii
ott564697,Rhacophorus norhayatii
ott5265765,Rhacophorus borneensis
ott714952,Rhacophorus lateralis
ott836679,Rhacophorus kio
ott1001488,Rhacophorus helenae
ott648330,Rhacophorus bipunctatus
ott661090,Rhacophorus rhodopus
ott33616,Taruga fastigo
ott33618,Taruga eques
ott965429,Taruga longinasus
ott40177,Polypedates mutus
ott908329,Polypedates megacephalus
ott1054138,Polypedates leucomystax
ott331629,Polypedates teraiensis
ott3618478,Polypedates impresus
ott579675,Polypedates cruciger
ott687990,Polypedates maculatus
ott401529,Polypedates pseudocruciger
ott508562,Polypedates braueri
ott657694,Polypedates otilophus
ott657721,Polypedates colletti
ott715955,Polypedates macrotis
ott844898,Polypedates naso
ott3618474,Polypedates occidentalis
ott3618475,Polypedates hecticus
ott3618476,Polypedates taeniatus
ott3618477,Polypedates zed
ott3618481,Polypedates chlorophthalmus
ott3618482,Polypedates insularis
ott5223496,Polypedates discantus
ott905916,Feihyla palpebralis
ott686373,Feihyla kajau
ott389176,Chiromantis vittatus
ott3618614,Chiromantis hansenae
ott135530,Chiromantis rufescens
ott175631,Chiromantis xerampelina
ott389164,Chiromantis petersii
ott339961,Chiromantis nongkhorensis
