LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott1065941,Vigna unguiculata
ott592520,Vigna hosei
ott391939,Vigna racemosa
ott592510,Vigna luteola
ott763128,Vigna umbellata
ott178670,Vigna trilobata
ott806245,Vigna radiata
ott1065954,Vigna mungo
ott1060490,Phaseolus coccineus
ott825707,Phaseolus vulgaris
ott867230,Phaseolus acutifolius
ott989229,Phaseolus lunatus
ott963819,Leptospron adenanthum
ott162023,Cochliasanthus caracalla
ott350836,Macroptilium atropurpureum
ott547011,Macroptilium gracile
ott547013,Macroptilium lathyroides
ott848212,Dipogon lignosus
ott928430,Lablab purpureus
ott922655,Vigna frutescens
ott872076,Vigna parkeri
ott1090195,Vigna marina
ott3921226,Vigna lanceolata
ott858046,Dolichos trilobus
ott3929307,Austrodolichos errabundus
ott953972,Macrotyloma uniflorum
ott1086817,Macrotyloma axillare
ott3922126,Strongylodon lucidus
ott81408,Glycine syndetika
ott458414,Glycine canescens
ott636873,Glycine tomentella
ott952066,Glycine falcata
ott108936,Glycine stenophita
ott952050,Glycine microphylla
ott135029,Glycine cyrtoloba
ott681762,Glycine max
ott135045,Glycine argyrea
ott162655,Glycine peratosa
ott162657,Glycine rubiginosa
ott162660,Glycine gracei
ott458411,Glycine albicans
ott458416,Glycine lactovirens
ott458419,Glycine pindanica
ott562395,Glycine hirticaulis
ott636869,Glycine tabacina
ott800228,Glycine curvata
ott800260,Glycine arenaria
ott800266,Glycine clandestina
ott932414,Glycine aphyonota
ott932416,Glycine pullenii
ott952053,Glycine latrobeana
ott952060,Glycine latifolia
ott6097062,Glycine montis-douglas
ott161299,Psoralea pinnata
ott3919763,Psoralea arborea
ott3919764,Cullen balsamicum
ott276479,Cullen tenax
ott458774,Cullen australasicum
ott276483,Cullen discolor
ott858414,Cullen pustulatum
ott858417,Cullen graveolens
ott858421,Cullen leucanthum
ott858423,Cullen lachnostachys
ott858425,Cullen pallidum
ott858427,Cullen microcephalum
ott858429,Cullen patens
ott858431,Cullen parvum
ott1076887,Cullen cinereum
ott3919749,Cullen martini
ott3919778,Cullen badocanum
ott3919782,Cullen stipulaceum
ott6097147,Cullen plumosum
ott7055794,Cullen leucochaites
ott7055795,Cullen pogonocarpum
ott807795,Bituminaria bituminosa
ott3919724,Gompholobium pungens
ott135041,Teramnus labialis
ott273743,Pueraria montana
ott222826,Calopogonium mucunoides
ott240404,Pachyrhizus erosus
ott195815,Neonotonia wightii
ott886380,Neustanthus phaseoloides
ott84915,Erythrina crista-galli
ott570708,Erythrina variegata
ott284184,Erythrina lysistemon
ott570705,Erythrina caffra
ott333114,Erythrina vespertilio
ott666948,Erythrina fusca
ott3921557,Erythrina insularis
ott5785450,Erythrina numerosa
ott116244,Psophocarpus tetragonolobus
ott612448,Cajanus cajan
ott783231,Cajanus scarabaeoides
ott3921340,Cajanus acutifolius
ott3921341,Cajanus marmoratus
ott3921342,Cajanus lanuginosus
