LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott135014,Juniperus formosana
ott517887,Juniperus formosana var. mairei
ott582859,Juniperus communis
ott7045817,Juniperus communis var. oblonga
ott883812,Juniperus rigida
ott150471,Juniperus taxifolia
ott791263,Juniperus drupacea
ott150481,Juniperus coxii
ott254311,Juniperus arizonica
ott319652,Juniperus jaliscana
ott424683,Juniperus deltoides
ott473463,Juniperus morrisonicola
ott600622,Juniperus grandis
ott815995,Juniperus navicularis
ott815997,Juniperus macrocarpa
ott824129,Juniperus cedrus
ott824132,Juniperus brevifolia
ott3866697,Juniperus standleyi
ott737748,Juniperus mucronata
ott7045821,Juniperus zanonii
ott194195,Cupressus duclouxiana
ott254305,Cupressus torulosa
ott800344,Cupressus cashmeriana
ott828747,Cupressus dupreziana
ott254307,Cupressus tonkinensis
ott828738,Cupressus gigantea
ott949938,Cupressus sempervirens
ott330625,Cupressus chengiana
ott702204,Callitropsis funebris
ott1067278,Hesperocyparis arizonica
ott194173,Hesperocyparis lusitanica
ott828730,Hesperocyparis guadalupensis
ott798906,Hesperocyparis macnabiana
ott194188,Hesperocyparis goveniana
ott958817,Hesperocyparis macrocarpa
ott1035097,Hesperocyparis sargentii
ott828751,Hesperocyparis bakeri
ott603160,Callitropsis nootkatensis
ott421175,Callitropsis vietnamensis
ott61760,Platycladus orientalis
ott122358,Microbiota decussata
ott194278,Tetraclinis articulata
ott216741,Calocedrus macrolepis
ott408488,Calocedrus formosana
ott744794,Calocedrus rupestris
ott1080789,Calocedrus decurrens
ott582844,Chamaecyparis lawsoniana
ott324772,Chamaecyparis obtusa
ott800340,Chamaecyparis formosensis
ott883814,Chamaecyparis pisifera
ott800337,Chamaecyparis thyoides
ott1090066,Chamaecyparis hodginsii
ott665925,Thujopsis dolabrata
ott463720,Thuja occidentalis
ott463725,Thuja plicata
ott839332,Thuja sutchuenensis
ott1097289,Thuja koraiensis
ott1047130,Thuja standishii
ott32701,Callitris verrucosa
ott93722,Callitris oblonga
ott93726,Callitris sulcata
ott93727,Callitris drummondii
ott93728,Neocallitropsis pancheri
ott93729,Callitris macleayana
ott305716,Actinostrobus arenarius
ott615116,Actinostrobus pyramidalis
ott216744,Actinostrobus acuminatus
ott254304,Callitris preissii
ott553061,Callitris endlicheri
ott1080798,Callitris rhomboidea
